Station Name,Station information,Phone number,Access,Access times,Level 1 charging stations,Level 2 charging stations,DC Fast charging stations,Network,Network website,Open date,Connections,Address,City,State,Zip code,Location 1
Four Seasons Hotel Silicon Valley,See valet attendant to charge.,888-998-2546,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,1,,Blink Network,http://www.blinkcharging.com/,,,2050 University Ave.,East Palo Alto,CA,94303,"(37.46038, -122.14228)"
EMBARCADERO LOT,FCCPA STATION; Back parking lot,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,1985 Louis Rd,Palo Alto,CA,94303,"(37.4445737, -122.1329457)"
Nissan of Burlingame,,650-347-4800,Public - Call ahead,Dealership business hours,,1,,,,01/31/2012,,101 California Dr,Burlingame,CA,94010,"(37.57792, -122.341931)"
FACEBOOK,"MPK 46-1; -
MPK 46-2; -
MPK 46-3; -
MPK 46-5; -
MPK 46-6; -
MPK 46-7; -
MPK 46G-4; -",888-758-4389,Public,24 hours daily,,14,,ChargePoint Network,http://www.chargepoint.com/,,,1005 Hamilton Ave MPK 46,Menlo Park,CA,94025,"(37.4792804, -122.1478036)"
531409 : 631 Gateway,,800-663-5633,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,6,,SemaCharge Network,http://www.semacharge.com/,,,631 Gateway Boulevard,South San Francisco,CA,94080,"(37.6591478, -122.4009526)"
Park Place - Tesla Supercharger,,877-798-3752,Public,24 hours daily; for Tesla use only,,,8,Tesla,http://www.teslamotors.com/supercharger,03/01/2015,,1200 Park Place,San Mateo,CA,94403,"(37.545979, -122.290104)"
CARCHARGING,"WESTIN SFO; Enter parking lot, EVSE is located before exit gate on left.",888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,1 Old Bayshore Hwy,Millbrae,CA,94030,"(37.6041374, -122.3759613)"
FACEBOOK,"MPK 17-10; Facebook Employees Only
MPK 17-11; Facebook Employees Only. Located on southwest side, Bldg 17
MPK 17-2; Facebook Employees Only",888-758-4389,Public,24 hours daily,1,5,,ChargePoint Network,http://www.chargepoint.com/,,,1 Hacker Way Building 17,Menlo Park,CA,94025,"(37.484926, -122.148201)"
CITY OF REDWOOD,"DOWNTOWNCINEMA1
DOWNTOWNCINEMA2",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,,2107 Broadway,Redwood City,CA,94063,"(37.486378, -122.228374)"
Audi - Palo Alto,Located to the right of the service entrance,833-830-1068,Public,"9am-7pm M-Sat, 10am-6pm Sun; for customer use only",,1,,,,11/15/2017,,1730 Embarcadero Rd,Palo Alto,CA,94303,"(37.449726, -122.118056)"
Facebook - Building 12,,888-998-2546,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2,Blink Network,http://www.blinkcharging.com/,,,1601 Willow Rd.,Menlo Park,CA,94025,"(37.484198, -122.15032)"
ESSEX,"PARK GREEN 01; Second level garage
PARK GREEN 02; 3rd floor parking garage
PARK GREEN 03; 4th floor parking garage",888-758-4389,Public,24 hours daily,,6,,ChargePoint Network,http://www.chargepoint.com/,,,430 Station Park Circle,San Mateo,CA,94402,"(37.5540321, -122.3072445)"
BURLINGAME,LOT V 1; City parking lot V,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,294-298 California Dr,Burlingame,CA,94010,"(37.5800222, -122.3452787)"
ORACLE RWSHORE,"420 GARAGE-001; Inside garage 420 on ground level stalls 4-6 &amp; 4-7
420 GARAGE-002; Inside garage 420 on ground level stalls 4-8 &amp; 4-9",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,,400 Oracle Pkwy,Redwood City,CA,94065,"(37.531351, -122.26364)"
ALMAZ CAPITAL,WELCOME TO ALL; 2 stalls to the West from private Charepoint charger. on Alpine Road divider from parking lot,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,3274 Alpine Rd,Portola Valley,CA,94028,"(37.3982219, -122.1926035)"
ORACLE RWSHORE,"601 GARAGE-001; Inside garage 601 on 2nd fl near elevator
601 GARAGE-002; Inside garage 601 on 2nd fl furthest from elevator",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,,377-499 Island Pkwy,Belmont,CA,94002,"(37.531303, -122.270026)"
PUBLIC CHARGERS,"CENTRAL GRG 1; Street level of garage
CENTRAL GRG 2; Street level of garage",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,,311 S Ellsworth Ave,San Mateo,CA,94401,"(37.565011, -122.322879)"
CITY OF REDWOOD,"SHORES LIB CS10
SHORES LIB; Library Parking Lot",888-758-4389,Public,24 hours daily,,3,,ChargePoint Network,http://www.chargepoint.com/,,,399 Marine Pkwy,Redwood City,CA,94065,"(37.531724, -122.259644)"
Facebook - Building 25,,888-998-2546,Private,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2,Blink Network,http://www.blinkcharging.com/,,,180 Jefferson Dr.,Menlo Park,CA,94025,"(37.480997, -122.169997)"
SMCCD,"SKY LOT F EV_1; Sky Lot F - Building 11
SKY LOT F EV_2; Sky Lot F - Building 11",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,,11 College Rd,Pacifica,CA,94044,"(37.6283027, -122.4678841)"
SAN MATEO CNTY,"CC - PUBLIC #1; County Center Garage
CC - PUBLIC #2; County Center Garage
CC - PUBLIC #3; -",888-758-4389,Public,24 hours daily,,6,,ChargePoint Network,http://www.chargepoint.com/,,,400-470 Middlefield Road County Center Garage,Redwood City,CA,94063,"(37.4888766, -122.2297743)"
METRO TOWER,"919 E HLSDLE 1; Parking area
919 E HLSDLE 2; Parking area
919 E HLSDLE 3; Parking area 
919 E HLSDLE 4; Parking area 
919 E HLSDLE 5; Parking area 
919 E HLSDLE 6; Parking area 
919 E HLSDLE 7; Parking area 
919 E HLSDLE 8; Parking area",888-758-4389,Public,24 hours daily,,16,,ChargePoint Network,http://www.chargepoint.com/,,,919 E Hillsdale Blvd,Foster City,CA,94404,"(37.555716, -122.277133)"
SMCCD,"LOT S; Lot S, at Building 4
SKY LOT L EV_1; Parking Lot L 
SKY LOT L EV_2; Parking Lot L
SKY LOT L EV_3; Parking Lot L
SKY LOT L EV_4; Parking Lot L
SKY LOT L EV_5; Parking Lot L
SKY LOT L EV_6; Parking Lot L
SKY LOT L EV_7; Parking Lot L
SKY LOT L EV_8; Parking Lot L",888-758-4389,Public,24 hours daily,,17,,ChargePoint Network,http://www.chargepoint.com/,,,3300 College Dr,San Bruno,CA,94066,"(37.632243, -122.464268)"
FACEBOOK,"MPK 29-13
MPK 29-8",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,,220 Constitution Dr,Menlo Park,CA,94025,"(37.48267, -122.169968)"
BAYSHORE TECH,"1200 ISLAND DR1; -
1200 ISLAND DR2",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,,1200 Bridge Pkwy,Redwood City,CA,94065,"(37.534669, -122.257738)"
HEALTH CENTER,SPV NORTH; The station is located in Carport A,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,501 Portola Rd,Portola Valley,CA,94028,"(37.3746131, -122.222069)"
SHOREBREEZE,"275 STATION 1; -
275 STATION 2; -",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,,275 Shoreline Dr,Redwood City,CA,94065,"(37.524951, -122.257813)"
Palo Alto Technology Center,,,Private,For tenant use only,,6,,,,11/15/2017,,1810 Embarcadero Rd,Palo Alto,CA,94303,"(37.450532, -122.114855)"
CCSF - SFO,"SFO LTP 1K.1
SFO LTP 1K.3
SFO LTP 1K.4
SFO LTP 1K.40
SFO LTP 1L.41G
SFO LTP 2K.4
SFO LTP 2K.5G
SFO LTP 4K.9; 4th floor 
SFO LTP 6K.1G
SFO LTP 6K.2
SFO LTP 6K.3
SFO LTP 6K.4
SFO LTP 6K.5G
SFO LTP 6K.6
SFO LTP 6K.7
SFO LTP 6K.8
SFO LTP 6K.9",888-758-4389,Public,24 hours daily,,32,,ChargePoint Network,http://www.chargepoint.com/,,,806 S Airport Blvd,San Francisco,CA,94128,"(37.6366148, -122.4005196)"
FACEBOOK,"MPK 17-3; Facebook Employees Only
MPK 17-4; Facebook Employees Only
MPK 17-5; Facebook Employees Only
MPK 17-6; Facebook Employees Only
MPK 17-7; Facebook Employees Only
MPK 17-8; Facebook Employees Only
MPK 17-9; Facebook Employees Only
MPK 18-10
MPK 18-11
MPK 18-13
MPK 18-14
MPK 18-15
MPK 18-16
MPK 18-7
MPK 18-8
MPK 18-9
MPK 18GW-12
MPK 18GW-6",888-758-4389,Public,24 hours daily,,36,,ChargePoint Network,http://www.chargepoint.com/,,,17 Hacker Way,Menlo Park,CA,94025,"(37.483161, -122.147562)"
PlugShare NorCal Office,,800-663-5633,Public,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,,1,,SemaCharge Network,http://www.semacharge.com/,,,985 East San Carlos Ave,San Carlos,CA,94070,"(37.509330392149, -122.25749307264999)"
SLAC National Accelerator Laboratory,Building 35,,Private,,,1,,,,06/30/2014,,2575 Sand Hill Rd,Menlo Park,CA,94025,"(37.41649, -122.21)"
HCP,"STATION 1; Near front entrance
STATION 2; Near front building
STATION 3; Front of the building",888-758-4389,Public,24 hours daily,,3,,ChargePoint Network,http://www.chargepoint.com/,,,200 Cardinal Way,Redwood City,CA,94063,"(37.504462, -122.219253)"
San Mateo Caltrain Station,,877-455-3833,Public - Card key at all times,24 hours daily; EVgo network subscription and key fob required,,2,4,eVgo Network,https://www.evgo.com/,,,385 1st Ave,San Mateo,CA,94401,"(37.567463, -122.323738)"
IKEA - East Palo Alto,Located on ground floor near isle K row,888-998-2546,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,2,,Blink Network,http://www.blinkcharging.com/,,,1700 E. Bayshore Rd,Palo Alto,CA,94303,"(37.460995, -122.138388)"
FACEBOOK,"MPK 64-1GW
MPK 64-2",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,,135 Commonwealth Dr,Menlo Park,CA,94025,"(37.481738, -122.175181)"
W.L. Butler,,866-816-7584,Public,24 hours daily,,2,,EV Connect,http://evconnect.com/,04/01/2019,,1629 Main St,Redwood City,CA,94063,"(37.4778671, -122.2224445)"
500 BROADWAY,SUL; 9th and 10th parking stalls on right,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,500 Broadway,Redwood City,CA,94063,"(37.4856764, -122.2041581)"
TOWERS AT SHORE,"205 STATION 1; The entrance around to the left side
205 STATION 4; The main entrance around to the left side",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,,205 Redwood shore parkway,Redwood City,CA,94065,"(37.521057, -122.252962)"
ELAN MENLO PARK,"H35; Residents only
L62; -
M65; -",888-758-4389,Public,24 hours daily,,3,,ChargePoint Network,http://www.chargepoint.com/,,,3645 Haven Ave,Menlo Park,CA,94025,"(37.485718, -122.182879)"
SMCCD,SKY LOT K; North East Corner of Lot K,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,6 College Rd. Lot K 3300 College Dr,San Bruno,CA,94066,"(37.6308341, -122.4681967)"
MENLO PARK,PARKINGPLAZA2 2; -,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,1148 Crane St,Menlo Park,CA,94025,"(37.4517774, -122.1859032)"
FACEBOOK,"MPK 16-2; -
MPK 16-3; -",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,,1 Hacker Way,Menlo Park,CA,94025,"(37.484926, -122.148201)"
Millwood Inn and Suites - Tesla Destination,,650-583-3935  877-798-3752,Public,24 hours daily; for Tesla use only; for customer use only; see front desk for access,,2,,Tesla Destination,https://www.tesla.com/destination-charging,11/01/2018,,1375 El Camino Real,Millbrae,CA,94030,"(37.609606, -122.401441)"
ELAN MENLO PARK,"A5; Residents only
A6; -
B7; Residents only
B8; Residents only
C10; Residents only
C9; -
H33; Residents only
L61; Residents only
M66; Residents only
SPACE 48; -",888-758-4389,Public,24 hours daily,,10,,ChargePoint Network,http://www.chargepoint.com/,,,3465 Haven Ave,Menlo Park,CA,94025,"(37.4861764, -122.1822252)"
FACEBOOK,MPK 17-1 DCFC,888-758-4389,Public,24 hours daily,,,2,ChargePoint Network,http://www.chargepoint.com/,,,1 Hacker Way MPK 17,Menlo Park,CA,94025,"(37.4850644, -122.1468341)"
ELAN MENLO PARK,GUEST 1; -,888-758-4389,Public,24 hours daily,,1,,ChargePoint Network,http://www.chargepoint.com/,,,3651 Haven Ave,Menlo Park,CA,94025,"(37.4860785, -122.1825953)"
CITY OF REDWOOD,RED MORTON LEFT; Red Morton Community Center parking lot,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,1014 King St,Redwood City,CA,94061,"(37.4722811, -122.2352144)"
DO,PARKING LOT A; In Parking Lot,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,650 N Delaware St,San Mateo,CA,94401,"(37.5782793, -122.3315827)"
Nissan of Serramonte,,650-550-7200,Public - Call ahead,Dealership business hours,,1,1,,,03/15/2011,,1500 Collins Ave,Colma,CA,94014,"(37.671267, -122.463541)"
UNITED AIRLINES,"ECOSKIES_SFO_01; -
ECOSKIES_SFO_02; -
ECOSKIES_SFO_03; -
ECOSKIES_SFO_04; -
ECOSKIES_SFO_05; -",888-758-4389,Public,24 hours daily,,10,,ChargePoint Network,http://www.chargepoint.com/,,,182-394 N Access Rd,South San Francisco,CA,94080,"(37.638982, -122.398497)"
Greenlots - 52217,,855-900-7584,Public,24 hours daily,,6,,Greenlots,http://greenlots.com/,,,1949 Pacific Blvd.,San Mateo,CA,94403,"(37.550565, -122.307136)"
Oyster Point Marina Plaza,,800-663-5633,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,10,,SemaCharge Network,http://www.semacharge.com/,,,"400 Oyster Point , B1, #117",South San Francisco,CA,94080,"(37.6655539, -122.3824533)"
Nissan of Burlingame,,650-347-4800,Private,,,1,,,,01/31/2012,,101 California Dr,Burlingame,CA,94010,"(37.57792, -122.341931)"
Chevron Willow,,877-455-3833,Public - Card key at all times,24 hours daily; EVgo network subscription and key fob required,,,6,eVgo Network,https://www.evgo.com/,,,1399 Willow Rd,Menlo Park,CA,94025,"(37.479348, -122.15223)"
FACEBOOK,"MPK 18-1; -
MPK 18-2; -
MPK 18-3; -
MPK 18-4; -",888-758-4389,Public,24 hours daily,,8,,ChargePoint Network,http://www.chargepoint.com/,,,1 Hacker Way Building 18,Menlo Park,CA,94025,"(37.484926, -122.148201)"
CITY OF REDWOOD,SHORES LIB CS4; -,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,San Francisco Bay Trail,Redwood City,CA,94065,"(37.5309414, -122.2592373)"
PARK PLACE,"EV B; Drive to basement level in garage and follow the EV charging station signs 
EV C; -
EV1; located in basement of building
EV2; located in basement
EV3; located in basement
EV4; located in basement",888-758-4389,Public,24 hours daily,,3,8,ChargePoint Network,http://www.chargepoint.com/,,,1100 Park Pl,San Mateo,CA,94403,"(37.544828, -122.29061)"
San Carlos Marketplace - Tesla Supercharger,,877-798-3752,Public,24 hours daily; for Tesla use only,,,19,Tesla,http://www.teslamotors.com/supercharger,07/23/2018,,1127 Industrial Road,San Carlos,CA,94070,"(37.502355, -122.244229)"
Hotel Nia - Tesla Destination,,650-900-3434  877-798-3752,Public,24 hours daily; for Tesla use only; for customer use only; see front desk for access,,6,,Tesla Destination,https://www.tesla.com/destination-charging,11/01/2018,,200 Independence Dr,Menlo Park,CA,94025,"(37.4823848471187, -122.176647150787)"
TOWERS AT SHORE,"203 STATION 1; Garages Level 1
203 STATION 2; 206 Garage Level 1
205 STATION 2; Main entrance around to the left side
205 STATION 3; Main entrance around to the left side",888-758-4389,Public,24 hours daily,,8,,ChargePoint Network,http://www.chargepoint.com/,,,270 Electronic Arts Dr,Redwood City,CA,94065,"(37.5215242, -122.2548955)"
Menlo Park Veterans Affairs Medical Center,,,Private - Government only,,,1,,,,06/30/2014,,795 Willow Rd,Menlo Park,CA,94025,"(37.46688, -122.163)"
FACEBOOK,"MPK 10-1; Facebook Employees Only
MPK 10-2; Facebook Employees Only
MPK 10-3; -
MPK 10-4
MPK 10-5; -
MPK 10-6",888-758-4389,Public,24 hours daily,,12,,ChargePoint Network,http://www.chargepoint.com/,,,1 Hacker Way Building 10,Menlo Park,CA,94025,"(37.484926, -122.148201)"
FACEBOOK,MPK 28 15,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,162 Jefferson Dr,Menlo Park,CA,94025,"(37.4797561, -122.172425)"
GE WattStation,,855-443-3873,Private,,,1,,GE WattStation,https://www.gewattstation.com,,,710  Bair Island Rd,Redwood City,CA,94063,"(37.4977052, -122.2237448)"
ORACLE RWSHORE,"OPL 003; -
OPL-001; Handicap Parking Space
OPL-002; -
OPL-004; -
OPL-005; -",888-758-4389,Public,24 hours daily,,9,,ChargePoint Network,http://www.chargepoint.com/,,,1012 Twin Dolphin Dr,Redwood City,CA,94065,"(37.518626, -122.25009)"
BAYSHORE TECH,2400 BRIDGE PKY; -,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,2400 Bridge Pkwy,Redwood City,CA,94065,"(37.5390041, -122.2566895)"
THE COVE EV,"151 OYSTER 1; Building 3
151 OYSTER 2; Building 3
151 OYSTER 3; Building 3
151 OYSTER 4; Official address will be 151 Oyster Point Blvd",888-758-4389,Public,24 hours daily,,6,,ChargePoint Network,http://www.chargepoint.com/,,,151 Oyster Point Blvd,South San Francisco,CA,94080,"(37.663627, -122.394303)"
San Carlos Library,,877-455-3833,Public - Card key at all times,24 hours daily; EVgo network subscription and key fob required,,1,4,eVgo Network,https://www.evgo.com/,,,610 Elm St,San Carlos,CA,94070,"(37.503555, -122.261906)"
Stanford Park Hotel,,800-663-5633,Public,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,,2,,SemaCharge Network,http://www.semacharge.com/,,,100 El Camino Real,Menlo Park,CA,94025,"(37.4476556, -122.1727157)"
TOWERS AT SHORE,"201 STATION 1; -
201 STATION 2; -",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,,201 Redwood Shores Pkwy,Redwood City,CA,94065,"(37.520434, -122.254013)"
Town of Colma,,877-455-3833,Public - Card key at all times,24 hours daily; EVgo network subscription and key fob required,,,4,eVgo Network,https://www.evgo.com/,,,1198 El Camino,Colma,CA,94014,"(37.676942, -122.459308)"
BURLINGAME,CITY HALL,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,501 Primrose Rd,Burlingame,CA,94010,"(37.58001, -122.3506374)"
PROMETHEUS,TRESTLE 331; -,888-758-4389,Public,24 hours daily,,1,,ChargePoint Network,http://www.chargepoint.com/,,,331 El Camino Real,San Carlos,CA,94070,"(37.510659, -122.2636774)"
INTUIT INC,"MENLO PARK 10; -
MENLO PARK 11; -
MENLO PARK 6; -
MENLO PARK 7; -
MENLO PARK 8; -
MENLO PARK 9; -
MPK 29-10
MPK 29-9GW",888-758-4389,Public,24 hours daily,,16,,ChargePoint Network,http://www.chargepoint.com/,,,200 Jefferson Dr,Menlo Park,CA,94025,"(37.481221, -122.169884)"
PRIVATE GNE,"PS 1 NEW 1; -
PS 1 NEW 2
PS 1 NEW 3
PS-1-1 (FAST); NO PUBLIC ACCESS - Genentech Parking Structure near Building 9
PS-1-2A & 2B; NO PUBLIC ACCESS - Genentech Parking Structure near Building 9
PS-1-3A & 3B; NO PUBLIC ACCESS - Genentech Parking Structure near Building 9
PS-1-4A &4B;; NO PUBLIC ACCESS - Genentech Parking Structure near Building 9
PS-1-5A &5B;; NO PUBLIC ACCESS - Genentech Parking Structure near Building 9
PS-1-6A & 6B; NO PUBLIC ACCESS - Genentech Parking Structure near Building 9
PS-1-7A & 7B; NO PUBLIC ACCESS - Genentech Parking Structure near Building 9",888-758-4389,Private,24 hours daily,,18,2,ChargePoint Network,http://www.chargepoint.com/,,,632 Forbes Blvd,South San Francisco,CA,94080,"(37.658901, -122.38279)"
Super 8 San Bruno /SF Intl Arpt West - Tesla Destination,,650-624-0999  877-798-3752,Public,24 hours daily; for Tesla use only; for customer use only; see front desk for access,,2,,Tesla Destination,https://www.tesla.com/destination-charging,11/01/2018,,421 El Camino Real,San Bruno,CA,94066,"(37.621822, -122.412259)"
THE COVE EV,"GL1 10; SOUTH OF 121
GL1 6; South of 121
GL1 7; South of 121
GL1 8; South 121
GL1 9; South side 121 oyster point",888-758-4389,Public,24 hours daily,,9,,ChargePoint Network,http://www.chargepoint.com/,,,121 Oyster Point Blvd,South San Francisco,CA,94080,"(37.66254, -122.396197)"
Boardwalk Nissan,,650-364-0100,Private,,,1,,,,03/15/2011,,1 Bair Island Rd,Redwood City,CA,94063,"(37.495963, -122.227322)"
FACEBOOK,"MPK 29-11; -
MPK 29-12GW
MPK 29-15
MPK 29-6
MPK 29-7GW",888-758-4389,Public,24 hours daily,,10,,ChargePoint Network,http://www.chargepoint.com/,,,220 Jefferson Dr,Menlo Park,CA,94025,"(37.481406, -122.168852)"
PUBLIC CHARGERS,MAIN LIBRARY; First floor parking stalls,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,33-75 W 3rd Ave,San Mateo,CA,94402,"(37.5624703, -122.3264529)"
JEFFERSON,TRP,888-758-4389,Public,24 hours daily,,1,,ChargePoint Network,http://www.chargepoint.com/,,,550 E Market St,Daly City,CA,94014,"(37.6906275, -122.4591583)"
BAY MEADOWS 3,"B1 CENTER NORTH; Level B1 Center-North
B1 CENTER SOUTH; Level B1 Center-South
P1 NORTH; Level P1-North
P1 SOUTH; Level P1-South",888-758-4389,Public,24 hours daily,,8,,ChargePoint Network,http://www.chargepoint.com/,,,2950 S Delaware St,San Mateo,CA,94403,"(37.541586, -122.299352)"
SHR CHARGEPOINT,"STATION 1; North side of parking lot
STATION 2",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,,2200 Sand Hill Rd,Menlo Park,CA,94025,"(37.422876, -122.199368)"
SAN MATEO CNTY,COYOTE POINT #2; -,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,"1701 Coyote Point Drive Coyote Point Park, Magic Mountain Playgroud",San Mateo,CA,94401,"(37.5871257, -122.3290547)"
Peninsula Components Inc,,,Private,,,6,,,,08/16/2016,,1300 Industrial Rd,San Carlos,CA,94070,"(37.500518, -122.246433)"
The Mountain House Restaurant - Tesla Destination,,650-851-8541  877-798-3752,Public,24 hours daily; for Tesla use only,,2,,Tesla Destination,https://www.tesla.com/destination-charging,01/01/2016,,13808 Skyline Blvd,Woodside,CA,94062,"(37.438177, -122.322931)"
1410 GARAGE EV,"#1; Parking Garage Ground Level
#2; Parking Garage Ground Level",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,,1400 Fashion Island Blvd,San Mateo,CA,94404,"(37.555962, -122.288006)"
ORACLE RWSHORE,OPL-006; -,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,1012 Twin Dolphin Dr,Belmont,CA,94002,"(37.5278748, -122.265745)"
MENLO PARK,LAUREL 2,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,701 Laurel St,Menlo Park,CA,94025,"(37.4536936, -122.1769444)"
PRIVATE GNE,"PS 2 NEW 1; -
PS 2 NEW 2
PS 2 NEW 3
PS 2 NEW 4
PS-2-1 (FAST); NO PUBLIC ACCESS - Genentech Parking Structure near Building 36
PS-2-2A & 2B; NO PUBLIC ACCESS - Genentech Parking Structure near Building 36
PS-2-3A &3B;; NO PUBLIC ACCESS - Genentech Parking Structure near Building 36
PS-2-4A & 4B; NO PUBLIC ACCESS - Genentech Parking Structure near Building 36
PS-2-5A & 5B; NO PUBLIC ACCESS - Genentech Parking Structure near Building 36
PS-2-6A & 6B; NO PUBLIC ACCESS - Genentech Parking Structure near Building 36",888-758-4389,Private,24 hours daily,,16,2,ChargePoint Network,http://www.chargepoint.com/,,,353 Point San Bruno Blvd,South San Francisco,CA,94080,"(37.65335, -122.38116)"
CBRE - Seaport Centre,,888-998-2546,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,2,,Blink Network,http://www.blinkcharging.com/,,,700 Chesapeake Dr.,Redwood City,CA,94063,"(37.500499, -122.21345)"
SCAVENGER,SSF SCAVENGER; 7:00 AM to 4:30 PM Monday through Friday. Gate closes at 4:30 PM daily. Must exit by 4:30 PM. Closed Saturday and Sunday.,888-758-4389,Public,24 hours daily,,1,,ChargePoint Network,http://www.chargepoint.com/,,,500 E Jamie Ct,South San Francisco,CA,94080,"(37.6487284, -122.3832666)"
MPCSD,OAK KNOLL; Located behind security gate,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,1895 Oak Knoll Lane,Menlo Park,CA,94025,"(37.431149, -122.1915369)"
HMB,HMB-KELLY AVE; Located at Kelly Avenue and Main Street,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,714 Kelly Ave,Half Moon Bay,CA,94019,"(37.4635547, -122.429072)"
CITY OF REDWOOD,"MARSHALLGARAGE1; In parking garage first floor 
MARSHALLGARAGE2",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,,2048 Broadway,Redwood City,CA,94063,"(37.486788, -122.2272)"
BAYSHORE TECH,3200 BRIDGE PKY,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,3200 Bridge Pkwy,Redwood City,CA,94065,"(37.5384352, -122.2554263)"
MPCSD,TERC; Encinal School parking lot employee lot,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,181 Encinal Ave,Menlo Park,CA,94025,"(37.4633919, -122.1864646)"
THE COVE EV,"131 OYSTER 1; -
131 OYSTER 2; -
131 OYSTER 3; -",888-758-4389,Public,24 hours daily,,6,,ChargePoint Network,http://www.chargepoint.com/,,,131 Oyster Point Blvd,South San Francisco,CA,94080,"(37.662848, -122.394382)"
INTUIT INC,"MENLO PARK 1; -
MENLO PARK 2; -
MENLO PARK 3; -
MENLO PARK 4; -
MENLO PARK 5; -",888-758-4389,Public,24 hours daily,,5,,ChargePoint Network,http://www.chargepoint.com/,,,180 Jefferson Dr,Menlo Park,CA,94025,"(37.481001, -122.170265)"
